============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 151/200 | Loss: 0.0699 | Test Loss: 0.2556 | Train: 98.4% | Test: 93.2% | Avg10: 92.6% | Best: 94.8%
Ep 152/200 | Loss: 0.0708 | Test Loss: 0.2698 | Train: 98.5% | Test: 93.0% | Avg10: 92.6% | Best: 94.8%
Ep 153/200 | Loss: 0.0722 | Test Loss: 0.3009 | Train: 98.4% | Test: 92.5% | Avg10: 92.6% | Best: 94.8%
Ep 154/200 | Loss: 0.0713 | Test Loss: 0.2883 | Train: 98.4% | Test: 92.6% | Avg10: 92.7% | Best: 94.8%
Ep 155/200 | Loss: 0.0726 | Test Loss: 0.2698 | Train: 98.3% | Test: 93.0% | Avg10: 92.7% | Best: 94.8%
Ep 156/200 | Loss: 0.0696 | Test Loss: 0.2737 | Train: 98.5% | Test: 92.9% | Avg10: 92.7% | Best: 94.8%
Ep 157/200 | Loss: 0.0693 | Test Loss: 0.2610 | Train: 98.5% | Test: 93.2% | Avg10: 92.8% | Best: 94.8%
Ep 158/200 | Loss: 0.0732 | Test Loss: 0.2828 | Train: 98.4% | Test: 92.9% | Avg10: 92.9% | Best: 94.8%
Ep 159/200 | Loss: 0.0712 | Test Loss: 0.2629 | Train: 98.4% | Test: 92.9% | Avg10: 92.9% | Best: 94.8%
Ep 160/200 | Loss: 0.0717 | Test Loss: 0.2508 | Train: 98.5% | Test: 93.2% | Avg10: 93.0% | Best: 94.8%
Ep 161/200 | Loss: 0.0683 | Test Loss: 0.2793 | Train: 98.5% | Test: 92.8% | Avg10: 92.9% | Best: 94.8%
Ep 162/200 | Loss: 0.0725 | Test Loss: 0.2451 | Train: 98.4% | Test: 93.6% | Avg10: 93.0% | Best: 94.8%
Ep 163/200 | Loss: 0.0696 | Test Loss: 0.3026 | Train: 98.5% | Test: 92.3% | Avg10: 92.9% | Best: 94.8%
Ep 164/200 | Loss: 0.0728 | Test Loss: 0.2695 | Train: 98.3% | Test: 92.7% | Avg10: 93.0% | Best: 94.8%
Ep 165/200 | Loss: 0.0711 | Test Loss: 0.2998 | Train: 98.4% | Test: 92.3% | Avg10: 92.9% | Best: 94.8%
Ep 166/200 | Loss: 0.0706 | Test Loss: 0.2993 | Train: 98.4% | Test: 92.3% | Avg10: 92.8% | Best: 94.8%
Ep 167/200 | Loss: 0.0717 | Test Loss: 0.2589 | Train: 98.4% | Test: 93.1% | Avg10: 92.8% | Best: 94.8%
Ep 168/200 | Loss: 0.0693 | Test Loss: 0.2767 | Train: 98.5% | Test: 92.9% | Avg10: 92.8% | Best: 94.8%
